text,emotion,clean_text
i didnt feel humiliated,sadness,didnt feel humiliated
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness,go feeling hopeless damned hopeful around someone care awake
im grabbing a minute to post i feel greedy wrong,anger,im grabbing minute post feel greedy wrong
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,love,ever feeling nostalgic fireplace know still property
i am feeling grouchy,anger,feeling grouchy
ive been feeling a little burdened lately wasnt sure why that was,sadness,ive feeling little burdened lately wasnt sure
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,surprise,ive taking milligram time recommended amount ive fallen asleep lot faster also feel like funny
i feel as confused about life as a teenager or as jaded as a year old man,fear,feel confused life teenager jaded year old man
i have been with petronas for years i feel that petronas has performed well and made a huge profit,joy,petronas year feel petronas performed well made huge profit
i feel romantic too,love,feel romantic
i feel like i have to make the suffering i m seeing mean something,sadness,feel like make suffering seeing mean something
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,joy,feel running divine experience expect type spiritual encounter
i think it s the easiest time of year to feel dissatisfied,anger,think easiest time year feel dissatisfied
i feel low energy i m just thirsty,sadness,feel low energy thirsty
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,joy,immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious
i do not feel reassured anxiety is on each side,joy,feel reassured anxiety side
i didnt really feel that embarrassed,sadness,didnt really feel embarrassed
i feel pretty pathetic most of the time,sadness,feel pretty pathetic time
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness,started feeling sentimental doll child began collection vintage barbie doll sixty
i now feel compromised and skeptical of the value of every unit of work i put in,fear,feel compromised skeptical value every unit work put
i feel irritated and rejected without anyone doing anything or saying anything,anger,feel irritated rejected without anyone anything saying anything
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear,feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful
i have the feeling she was amused and delighted,joy,feeling amused delighted
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,joy,able help chai lifeline support encouragement great feeling glad able help
i already feel like i fucked up though because i dont usually eat at all in the morning,anger,already feel like fucked though dont usually eat morning
